fecha;rainfall;corrida
28/4/2015;;1
30/11/2015;18,73;1
24/12/2015;28,95;1
17/1/2016;51,91;1
10/2/2016;78,53;1
5/3/2016;110;1
29/3/2016;110;1
22/4/2016;107,41;1
4/5/2016;42,42;1
16/5/2016;42,42;1
28/5/2016;42,42;1
9/6/2016;45,47;1
3/7/2016;48,33;1
27/7/2016;48,33;1
20/8/2016;15,57;1
13/9/2016;26,21;1
1/10/2016;27,15;1
13/10/2016;27,15;1
25/10/2016;27,15;1
6/11/2016;20,2;1
18/11/2016;20,2;1
30/11/2016;20,2;1
12/12/2016;81,9;1
24/12/2016;81,9;1
17/1/2017;128,87;1
29/1/2017;128,87;1
10/2/2017;90,33;1
22/2/2017;90,33;1
30/3/2017;146,4;1
11/4/2017;101,8;1
23/4/2017;101,8;1
5/5/2017;56,27;1
17/5/2017;56,27;1
29/5/2017;56,27;1
10/6/2017;35,6;1
22/6/2017;35,6;1
4/7/2017;28,8;1
16/7/2017;28,8;1
28/7/2017;28,8;1
9/8/2017;24,73;1
21/8/2017;24,73;1
14/9/2017;12,15;1
26/9/2017;12,15;1
8/10/2017;64,61;1
20/10/2017;64,61;1
1/11/2017;43,51;1
13/11/2017;43,51;1
25/11/2017;43,51;1
7/12/2017;79,4;1
12/1/2018;61,4;1
24/1/2018;61,4;1
5/2/2018;89,13;1
17/2/2018;89,13;1
1/3/2018;60,1;1
13/3/2018;60,1;1
25/3/2018;60,1;1
6/4/2018;63,94;1
18/4/2018;63,94;1
30/4/2018;63,94;1
12/5/2018;56,67;1
5/6/2018;29,27;1
17/6/2018;29,27;1
11/7/2018;16,93;1
23/7/2018;16,93;1
4/8/2018;25,07;1
16/8/2018;25,07;1
28/8/2018;25,07;1
9/9/2018;10,6;1
21/9/2018;10,6;1
3/10/2018;17,73;1
15/10/2018;17,73;1
8/11/2018;141;1
20/11/2018;141;1
2/12/2018;32;1
14/12/2018;32;1
26/12/2018;32;1
7/1/2019;55,35;1
19/1/2019;55,35;1
31/1/2019;55,35;1
24/2/2019;83,64;1
8/3/2019;59,19;1
20/3/2019;59,19;1
1/4/2019;101,2;1
13/4/2019;101,2;1
25/4/2019;101,2;1
7/5/2019;62,73;1
19/5/2019;62,73;1
31/5/2019;62,73;1
12/6/2019;39,4;1
6/7/2019;49,8;1
8/11/2018;;2
20/11/2018;141;2
2/12/2018;32;2
14/12/2018;32;2
26/12/2018;32;2
7/1/2019;55,35;2
19/1/2019;55,35;2
31/1/2019;55,35;2
24/2/2019;83,64;2
8/3/2019;59,19;2
20/3/2019;59,19;2
1/4/2019;101,2;2
13/4/2019;101,2;2
25/4/2019;101,2;2
7/5/2019;62,73;2
19/5/2019;62,73;2
31/5/2019;62,73;2
12/6/2019;39,4;2
6/7/2019;49,8;2
23/8/2019;28,53;2
4/9/2019;11,8;2
16/9/2019;11,8;2
28/9/2019;11,8;2
